YEAR,TICKER,MACRO_SECTOR,ROE_W,ROA_W,OPERATING_MARGIN_W,NET_MARGIN_W,DEBT_TO_EQUITY_PROXY_W,EQUITY
2021,ENAT3,ENERGY,0.0744128202861231,0.0473635850056164,0.1891064794408412,0.1938210080329594,0.5710977173138237,2895536.0
2021,PETR3,ENERGY,0.1369606568227935,0.044243534904013,0.2703138182600208,0.1355522837433208,2.0956083667349743,299137000.0
2021,PETR4,ENERGY,0.1369606568227935,0.044243534904013,0.2703138182600208,0.1355522837433208,2.0956083667349743,299137000.0
2021,PRIO3,ENERGY,0.3739304814430647,0.1470751765041601,0.5182790037790316,0.4931612738173703,1.535563467939833,2165101.0
2021,RPMG3,ENERGY,0.0821177135632312,-0.0910495987222175,-0.1644999253235767,-0.1926904860549163,-1.7473741969995902,-2780886.0
2021,RRRP3,ENERGY,-0.1244376309860988,-0.0806318168518126,-0.4532076498404022,-0.9389700711386036,0.6742217886508469,236793.0
2021,UGPA3,ENERGY,0.0409696827966965,0.0129167463790898,0.0144281771227175,0.0045123531636635,2.16725372767624,9835175.0
2021,AERI3,INDUSTRIALS,0.5093967051259973,0.1106332156463806,0.162292525462716,0.1063722417139041,3.604374031341485,174210.0
2021,ALPK3,INDUSTRIALS,-0.0733555320375485,-0.017614912427505,0.1269279456344315,-0.0394453882911193,3.164399473426086,581115.0
2021,AVLL3,INDUSTRIALS,-1.5310767456782317,-0.3698221276844254,-2.5973873325213157,-5.013623629719854,3.140035522657318,537685.0
2021,AZEV3,INDUSTRIALS,0.1452408978365872,-0.6470120242292741,-12.197946377638337,-20.4124358243012,-1.2244794414904412,-246370.0
2021,AZEV4,INDUSTRIALS,0.1452408978365872,-0.6470120242292741,-12.197946377638337,-20.4124358243012,-1.2244794414904412,-246370.0
2021,AZUL4,INDUSTRIALS,0.6828551245263803,-0.1251770934637809,-0.1044718477909675,-0.2100174291622929,-6.455112478098553,-3519174.0
2021,BBRK3,INDUSTRIALS,-0.2731912396585736,-0.1756147073129572,-0.532524685553074,-0.5199027271658634,0.5556284769004483,259031.0
2021,BDLL3,INDUSTRIALS,2.092537618998874,-0.2807114873094843,-5.7016667542983335,-5.374099584625901,-8.454406797010954,-97690.0
2021,BDLL4,INDUSTRIALS,2.092537618998874,-0.2807114873094843,-5.7016667542983335,-5.374099584625901,-8.454406797010954,-97690.0
2021,CCPR3,INDUSTRIALS,0.0305976007944866,0.0182193414875495,0.5757732155828268,0.2055409004600425,0.6794021241325321,3162797.0
