YEAR,TICKER,MACRO_SECTOR,MOM_6M,MOM_12M,DISCOUNT_52W
2021,ENAT3,ENERGY,0.1460348162475822,-0.2542479546884834,0.36084142394822
2021,OPCT3,ENERGY,,,
2021,PETR3,ENERGY,0.291405550581916,-0.1095679012345678,0.1265516197396305
2021,PETR4,ENERGY,0.3150812064965196,-0.0708196721311475,0.0831446133937237
2021,PRIO3,ENERGY,0.9833286239050578,1.107807807807808,0.0
2021,RECV3,ENERGY,,,
2021,RPMG3,ENERGY,-0.0723684210526316,-0.4415841584158416,0.4928057553956835
2021,RRRP3,ENERGY,,,0.0124767719670825
2021,UGPA3,ENERGY,0.2916213275299237,-0.0627714172917489,0.1463502337288745
2021,AERI3,INDUSTRIALS,,,0.0328820116054158
2021,ALPK3,INDUSTRIALS,0.0,,0.1117478510028653
2021,ARML3,INDUSTRIALS,,,
2021,AVLL3,INDUSTRIALS,,,0.2013536379018612
2021,AZEV3,INDUSTRIALS,-0.5803183791606368,-0.1158536585365853,0.7363636363636363
2021,AZEV4,INDUSTRIALS,-0.2866242038216561,-0.0059171597633136,0.5014836795252227
2021,AZUL4,INDUSTRIALS,0.9542516161113872,-0.3177083333333333,0.3702932222400257
2021,BBRK3,INDUSTRIALS,-0.0638297872340425,-0.5555555555555556,0.6594427244582043
2021,BDLL3,INDUSTRIALS,,,0.88996
2021,BDLL4,INDUSTRIALS,0.3231707317073171,0.6218236173393124,0.5068181818181818
2021,CCPR3,INDUSTRIALS,-0.0969017798286091,-0.4408163265306123,0.4828237070592677
2021,CCRO3,INDUSTRIALS,-0.0710344827586206,-0.2995319812792512,0.3291832669322708
2021,CRDE3,INDUSTRIALS,-0.1968686575819078,0.5219780219780219,0.3403191236008573
2021,CURY3,INDUSTRIALS,,,0.0828924162257495
2021,CYRE3,INDUSTRIALS,0.2901531728665207,0.0078632478632478,0.1425247236765562
2021,DIRR3,INDUSTRIALS,-0.1673027989821883,-0.0934903047091412,0.2882001087547581
2021,DXCO3,INDUSTRIALS,,,
2021,ECOR3,INDUSTRIALS,0.0308404009252118,-0.1792510742786985,0.3
2021,EMBR3,INDUSTRIALS,0.0939431396786154,-0.5514445007602635,0.5682926829268293
2021,ETER3,INDUSTRIALS,2.5335195530726256,2.108108108108108,0.2972222222222221
2021,EUCA3,INDUSTRIALS,-0.1407407407407407,-0.7170731707317073,0.71
2021,EUCA4,INDUSTRIALS,0.0970724191063174,-0.039136302294197,0.1652989449003515
2021,EVEN3,INDUSTRIALS,0.0867992766726943,-0.1905723905723906,0.3742842269651224
2021,EZTC3,INDUSTRIALS,0.0751879699248121,-0.1356034656457788,0.2869015957446809
2021,FRAS3,INDUSTRIALS,0.8810408921933084,0.7008403361344535,0.0
2021,FRIO3,INDUSTRIALS,0.2360211889346675,1.0669291338582676,0.5153846153846153
2021,GOLL4,INDUSTRIALS,0.3444743935309973,-0.3159626988480526,0.3613316261203584
2021,HBOR3,INDUSTRIALS,3.145762711864407,1.717777777777778,0.1188760806916426
2021,HBRE3,INDUSTRIALS,,,
2021,HBSA3,INDUSTRIALS,,,0.0873015873015872
2021,IGBR3,INDUSTRIALS,2.787878787878788,2.34448160535117,0.0467111534795042
2021,INEP3,INDUSTRIALS,0.4605263157894737,0.574468085106383,0.0397923875432526
2021,JFEN3,INDUSTRIALS,-0.0334821428571429,0.9159292035398232,0.599444958371878
2021,JHSF3,INDUSTRIALS,0.1,0.1031073446327683,0.2568981921979067
2021,JSLG3,INDUSTRIALS,-0.373117033603708,-0.4507614213197969,0.7022564667033573
2021,LAVV3,INDUSTRIALS,,,0.0181623931623932
2021,LCAM3,INDUSTRIALS,0.7312463083284111,0.3444954128440365,0.0
2021,LEVE3,INDUSTRIALS,0.1708542713567837,-0.2483870967741935,0.3600854440036619
2021,LOGG3,INDUSTRIALS,0.0382397572078907,0.0747722274583726,0.1473080757726819
2021,LOGN3,INDUSTRIALS,0.105191256830601,-0.2291567413053834,0.3704280155642023
2021,LPSB3,INDUSTRIALS,-0.0639097744360902,-0.4918367346938775,0.5150925024342745
2021,LUPA3,INDUSTRIALS,0.1862745098039215,0.3908045977011494,0.2117263843648208
2021,MDNE3,INDUSTRIALS,0.5570469798657718,,0.3729729729729729
2021,MELK3,INDUSTRIALS,,,0.0899408284023667
2021,MILS3,INDUSTRIALS,0.1388888888888888,-0.3698770491803278,0.433179723502304
2021,MOVI3,INDUSTRIALS,0.5703422053231937,0.087414428646656,0.0818141396176078
2021,MRVE3,INDUSTRIALS,0.0527777777777778,-0.0967588179218303,0.1498429789143113
2021,MTRE3,INDUSTRIALS,0.1111111111111111,,0.1826923076923077
2021,MULT3,INDUSTRIALS,0.1478048780487806,-0.2685732048492384,0.3375563063063063
2021,MYPK3,INDUSTRIALS,0.1464497041420118,-0.3165784832451499,0.3722154718509518
2021,PDGR3,INDUSTRIALS,-0.2079999999999999,-0.4202049780380673,0.55
2021,PLPL3,INDUSTRIALS,,,0.22920892494929
2021,POMO3,INDUSTRIALS,-0.0180505415162454,-0.344578313253012,0.4581673306772907
2021,POMO4,INDUSTRIALS,-0.0204778156996586,-0.3521444695259593,0.4874999999999999
2021,PRNR3,INDUSTRIALS,-0.1030927835051546,,0.4188376753507015
2021,PTBL3,INDUSTRIALS,0.653012048192771,0.3217726396917149,0.0865512649800265
2021,RAIL3,INDUSTRIALS,-0.1445086705202312,-0.2582883577486508,0.2839598064756234
2021,RAPT3,INDUSTRIALS,0.4320685434516522,0.0743801652892561,0.0201005025125627
2021,RAPT4,INDUSTRIALS,0.6732570239334026,0.1694545454545453,0.0134969325153375
2021,RCSL3,INDUSTRIALS,3.333333333333334,5.08187134502924,0.2261904761904761
2021,RCSL4,INDUSTRIALS,-0.1767441860465115,0.066265060240964,0.4
2021,RDNI3,INDUSTRIALS,0.1877551020408163,-0.2124492557510148,0.3004807692307693
2021,RENT3,INDUSTRIALS,0.6854069909557567,0.4732905982905984,0.0
2021,ROMI3,INDUSTRIALS,0.1912104857363143,-0.0787119856887299,0.1693548387096775
2021,RSID3,INDUSTRIALS,0.1068447412353923,0.0184331797235022,0.4090909090909091
2021,RSUL4,INDUSTRIALS,0.8801880188018802,7.545454545454545,0.1395881006864988
2021,SEQL3,INDUSTRIALS,,,0.008699434536755
2021,SIMH3,INDUSTRIALS,,,0.0
2021,SOND5,INDUSTRIALS,1.695840086439762,0.1604651162790697,0.3158760625171374
2021,SOND6,INDUSTRIALS,-0.1111111111111111,0.2488292226038089,0.4202898550724637
2021,TASA3,INDUSTRIALS,1.88021778584392,2.2060606060606056,0.1023755656108598
2021,TASA4,INDUSTRIALS,1.440944881889764,1.8810408921933088,0.1918665276329509
2021,TCNO3,INDUSTRIALS,-0.0745098039215685,1.36,0.4869565217391304
2021,TCNO4,INDUSTRIALS,0.0067114093959732,0.595744680851064,0.375
2021,TCSA3,INDUSTRIALS,-0.2077716098334654,4.6440677966101696,0.2734545454545454
2021,TEND3,INDUSTRIALS,-0.0264430828764914,0.0482638888888888,0.2372410308236482
2021,TGMA3,INDUSTRIALS,0.1585051546391751,-0.2497913769123784,0.3464986673128181
2021,TPIS3,INDUSTRIALS,0.8640000000000001,0.4121212121212123,0.2101694915254237
2021,TRIS3,INDUSTRIALS,0.0268231349538976,-0.1756393001345895,0.2836257309941521
2021,UCAS3,INDUSTRIALS,0.0678391959798994,-0.1361788617886178,0.3511450381679389
2021,VAMO3,INDUSTRIALS,,,
2021,VIVR3,INDUSTRIALS,-0.238095238095238,-0.4644351464435147,0.6342857142857143
2021,WEGE3,INDUSTRIALS,0.4965421853388658,1.2414915655519383,0.116734693877551
2021,WHRL3,INDUSTRIALS,0.1730769230769231,-0.1586206896551723,0.2781065088757396
2021,WHRL4,INDUSTRIALS,0.2307692307692308,-0.1831831831831831,0.2472324723247232
2021,WLMM3,INDUSTRIALS,0.8166804293971925,2.928571428571429,0.2215145081387119
2021,WLMM4,INDUSTRIALS,0.8757396449704142,1.5751421608448417,0.0
2021,BALM3,MATERIALS,-0.2560143626570916,,0.7698033551827574
2021,BALM4,MATERIALS,0.6702127659574466,0.2661290322580645,0.1272929405225125
2021,BRAP3,MATERIALS,0.716856628674265,0.6128486897717667,0.0203662502139311
2021,BRAP4,MATERIALS,0.7450013694878117,0.6578194119177727,0.0423868931309183
2021,BRKM3,MATERIALS,0.0310711365494684,-0.1621262458471761,0.3518375738884605
2021,BRKM5,MATERIALS,0.0150732127476314,-0.1941880341880342,0.3956410256410256
2021,BRKM6,MATERIALS,0.795431976166832,0.6451319381255685,0.6412698412698412
2021,CBAV3,MATERIALS,,,
2021,CRPG3,MATERIALS,-0.1158199526191102,,0.2002380952380951
2021,CRPG5,MATERIALS,0.5065217391304346,0.4079642421779763,0.0
2021,CRPG6,MATERIALS,0.4346921797004992,0.5806599450045831,0.0
2021,DEXP3,MATERIALS,,,
2021,DEXP4,MATERIALS,,,
2021,EALT3,MATERIALS,0.4255555555555554,1.163575042158516,0.5046332046332046
2021,EALT4,MATERIALS,0.3110539845758353,-0.2296072507552871,0.3376623376623378
2021,FESA3,MATERIALS,0.0552763819095476,0.0865815798551226,0.0735294117647058
2021,FESA4,MATERIALS,0.000523560209424,-0.060933660933661,0.1277955271565495
2021,FHER3,MATERIALS,-0.0067114093959731,-0.2745098039215686,0.3179723502304147
2021,GGBR3,MATERIALS,0.5078066914498143,0.2268602540834845,0.0202898550724637
2021,GGBR4,MATERIALS,0.5271705184259836,0.2564234326824253,0.0153040676600885
2021,GOAU3,MATERIALS,0.4796992481203006,0.152224824355972,0.0
2021,GOAU4,MATERIALS,0.5403556771545828,0.2483370288248336,0.0105448154657293
2021,HETA4,MATERIALS,0.4537037037037035,0.3260135135135134,0.4728005372733378
2021,KEPL3,MATERIALS,0.014686248331108,0.3058419243986254,0.1592920353982301
2021,KLBN11,MATERIALS,0.3020167240531235,0.4238838084991931,0.0041384499623776
2021,MGEL4,MATERIALS,0.4910714285714286,0.2083936324167872,0.2409090909090909
2021,MMXM3,MATERIALS,7.585858585858586,6.3275862068965525,0.5277777777777778
2021,MTSA4,MATERIALS,0.7749999999999999,0.4622425629290616,0.0169230769230769
2021,MWET3,MATERIALS,0.4548637159289821,65.11363636363636,0.636375
2021,MWET4,MATERIALS,0.5294117647058822,0.3374485596707819,0.5185185185185186
2021,PATI3,MATERIALS,0.003114186851211,1.5883928571428574,0.0
2021,PATI4,MATERIALS,1.141633352370074,1.0480611687602406,0.0
2021,PMAM3,MATERIALS,-0.2520568436798802,-0.6494917630564319,0.7048406139315231
2021,RANI3,MATERIALS,0.1591397849462363,0.5013927576601671,0.2073529411764706
2021,SHUL4,MATERIALS,0.2569832402234637,0.3081395348837208,0.1857659831121832
2021,SNSY3,MATERIALS,9.503703703703705,11.224137931034484,0.77312
2021,SNSY5,MATERIALS,-0.930989010989011,-0.7796491228070175,0.9823098591549296
2021,SUZB3,MATERIALS,0.591193259037782,0.462037962037962,0.0
2021,TKNO4,MATERIALS,-0.5104747868196652,-0.4397590361445783,0.5104747868196652
2021,TUPY3,MATERIALS,0.0979057591623036,-0.138455217748562,0.2166604407919312
2021,UNIP3,MATERIALS,0.6327212020033388,0.3852691218130313,0.0
2021,UNIP5,MATERIALS,0.8345864661654134,0.6815988973121985,0.0
